test,file size, full amount, disksize, seconds
combo cbc,1024,0.25,4000000,6.018444538116455
combo ebc,1024,0.25,4000000,5.589475393295288
benchmark,1024,0.9,4000000,20.64266085624695
otf cbc,1024,0.9,4000000,21.508979082107544
otf ecb,1024,0.9,4000000,21.903380870819092
full disk cbc,1024,0.9,4000000,21.936678409576416
combo cbc,1024,0.9,4000000,30.81415557861328
combo ebc,1024,0.9,4000000,21.720577478408813
benchmark,8192,0.25,4000000,0.3124349117279053
otf cbc,8192,0.25,4000000,0.48070859909057617
otf ecb,8192,0.25,4000000,0.4768495559692383
full disk cbc,8192,0.25,4000000,0.738365888595581
combo cbc,8192,0.25,4000000,1.041806936264038
combo ebc,8192,0.25,4000000,0.8271176815032959
benchmark,8192,0.9,4000000,1.9701721668243408
otf cbc,8192,0.9,4000000,2.466745376586914
otf ecb,8192,0.9,4000000,2.310800790786743
full disk cbc,8192,0.9,4000000,2.5484180450439453
combo cbc,8192,0.9,4000000,3.4632718563079834
combo ebc,8192,0.9,4000000,2.8864593505859375
benchmark,32768,0.25,4000000,0.06380319595336914
otf cbc,32768,0.25,4000000,0.13550496101379395
otf ecb,32768,0.25,4000000,0.12187910079956055
full disk cbc,32768,0.25,4000000,0.4816865921020508
combo cbc,32768,0.25,4000000,0.5678925514221191
combo ebc,32768,0.25,4000000,0.5360960960388184
benchmark,32768,0.9,4000000,0.27242612838745117
otf cbc,32768,0.9,4000000,0.5079877376556396
otf ecb,32768,0.9,4000000,0.5167717933654785
full disk cbc,32768,0.9,4000000,0.7134697437286377
combo cbc,32768,0.9,4000000,1.1477959156036377
combo ebc,32768,0.9,4000000,0.9800279140472412
benchmark,256,0.25,1000000,4.917914390563965
otf cbc,256,0.25,1000000,5.077452659606934
otf ecb,256,0.25,1000000,5.03003716468811
full disk cbc,256,0.25,1000000,5.1023619174957275
combo cbc,256,0.25,1000000,5.657435417175293
combo ebc,256,0.25,1000000,5.028661489486694
benchmark,256,0.9,1000000,20.639235496520996
otf cbc,256,0.9,1000000,21.05017328262329
otf ecb,256,0.9,1000000,21.077990770339966
full disk cbc,256,0.9,1000000,20.936179876327515
combo cbc,256,0.9,1000000,29.99586033821106
combo ebc,256,0.9,1000000,21.017438888549805
benchmark,1024,0.25,1000000,0.8031952381134033
otf cbc,1024,0.25,1000000,0.9357426166534424
otf ecb,1024,0.25,1000000,0.8553159236907959
full disk cbc,1024,0.25,1000000,0.937138557434082
combo cbc,1024,0.25,1000000,1.4794437885284424
combo ebc,1024,0.25,1000000,1.0329616069793701
benchmark,1024,0.9,1000000,4.3930323123931885
otf cbc,1024,0.9,1000000,4.554755449295044
otf ecb,1024,0.9,1000000,4.534844636917114
full disk cbc,1024,0.9,1000000,4.646923780441284
combo cbc,1024,0.9,1000000,5.089781284332275
combo ebc,1024,0.9,1000000,4.599120140075684
benchmark,8192,0.25,1000000,0.055619239807128906
otf cbc,8192,0.25,1000000,0.07456374168395996
otf ecb,8192,0.25,1000000,0.07976102828979492
full disk cbc,8192,0.25,1000000,0.15898776054382324
combo cbc,8192,0.25,1000000,0.2054610252380371
combo ebc,8192,0.25,1000000,0.18506288528442383
benchmark,8192,0.9,1000000,0.26566386222839355
otf cbc,8192,0.9,1000000,0.3659200668334961
otf ecb,8192,0.9,1000000,0.3687264919281006
full disk cbc,8192,0.9,1000000,0.40342116355895996
combo cbc,8192,0.9,1000000,0.6299269199371338
combo ebc,8192,0.9,1000000,0.4876394271850586
benchmark,32768,0.25,1000000,0.016200542449951172
otf cbc,32768,0.25,1000000,0.028809785842895508
otf ecb,32768,0.25,1000000,0.026604890823364258
full disk cbc,32768,0.25,1000000,0.11872982978820801
combo cbc,32768,0.25,1000000,0.1341419219970703
combo ebc,32768,0.25,1000000,0.13342666625976562
benchmark,32768,0.9,1000000,0.05123734474182129
otf cbc,32768,0.9,1000000,0.10355186462402344
otf ecb,32768,0.9,1000000,0.09905171394348145
full disk cbc,32768,0.9,1000000,0.16086292266845703
combo cbc,32768,0.9,1000000,0.22313165664672852
combo ebc,32768,0.9,1000000,0.2100222110748291
